name,year,selling_price,km_driven,fuel,combustible_estimado_l,seller_type,transmission,owner,tipo_carroceria,potencia_motor_hp,nivel_seguridad,calidad_auto,score_calidad,eficiencia_km_l
Maruti 800 AC,2007,60000,70000,0,7407.4,0,0,0,2,244,1.2,Media,5.0,9.45000945000945
Maruti Wagon R LXI Minor,2007,135000,50000,0,5291.0,0,0,0,4,376,2.1,Media,6.6000000000000005,9.45000945000945
Hyundai Verna 1.6 SX,2012,600000,100000,1,9746.6,0,0,0,4,199,2.2,Media,6.3,10.259988098413805
Datsun RediGO T Option,2017,250000,46000,0,3962.1,0,0,0,2,302,2.4,Media,6.7,11.610004795436764
Honda Amaze VX i-DTEC,2014,450000,141000,1,13055.6,0,0,1,4,108,1.9,Media,6.0,10.799963234167713
Maruti Alto LX BSIII,2007,140000,125000,0,13227.5,0,0,0,1,209,1.8,Media,5.6000000000000005,9.45000945000945
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,0,2204.6,0,0,0,2,149,1.9,Media,5.8,11.339925610087999
Tata Indigo Grand Petrol,2014,240000,60000,0,5555.6,0,0,1,1,383,2.4,Media,7.1,10.799913600691193
Hyundai Creta 1.6 VTVT S,2015,850000,25000,0,2258.4,0,0,0,4,386,1.9,Media,7.199999999999999,11.069783917817924
Maruti Celerio Green VXI,2017,365000,78000,2,6718.3,0,0,0,5,337,1.4,Media,6.1,11.610079930934909
Chevrolet Sail 1.2 Base,2015,260000,35000,0,3161.7,0,0,0,2,355,2.0,Media,6.5,11.069993990574691
Tata Indigo Grand Petrol,2014,250000,100000,0,9259.3,0,0,0,3,206,2.3,Media,7.0,10.799952480209088
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,0,2104.4,1,1,0,2,112,3.9,Media,6.800000000000001,11.879870747006272
Maruti 800 AC,2007,60000,70000,0,7407.4,0,0,0,2,345,1.8,Media,5.699999999999999,9.45000945000945
Maruti Wagon R LXI Minor,2007,135000,50000,0,5291.0,0,0,0,1,213,2.1,Media,5.699999999999999,9.45000945000945
Hyundai Verna 1.6 SX,2012,600000,100000,1,9746.6,0,0,0,3,209,2.0,Media,6.7,10.259988098413805
Datsun RediGO T Option,2017,250000,46000,0,3962.1,0,0,0,1,120,1.1,Media,5.8,11.610004795436764
Honda Amaze VX i-DTEC,2014,450000,141000,1,13055.6,0,0,1,1,132,2.1,Media,6.0,10.799963234167713
Maruti Alto LX BSIII,2007,140000,125000,0,13227.5,0,0,0,4,361,1.6,Media,6.2,9.45000945000945
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,0,2204.6,0,0,0,4,117,2.4,Media,6.5,11.339925610087999
